product,width_mm,height_mm,vk_brutto_eur
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,455,261.97
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,500,261.97
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,600,261.97
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,700,279.78
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,800,296.94
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,900,315.07
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1000,355.23
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1100,373.36
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1200,390.52
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1300,407.04
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1400,425.17
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1500,442.98
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1600,460.14
IGLO 5 - DREH + DREH KIPP (PFOSTEN),770,1700,503.21
